NAME                                            PID PROCESS         USER  CONNECTION    UNIT               SESSION DESCRIPTION
:1.8                                           7467 pipewire-pulse  mycyg :1.8          user@1000.service  -       -
:1.80                                         10856 ibus-engine-lib mycyg :1.80         user@1000.service  -       -
:1.82                                         10908 gvfsd-metadata  mycyg :1.82         user@1000.service  -       -
:1.84                                         11106 gvfsd-trash     mycyg :1.84         user@1000.service  -       -
:1.86                                         10699 ibus-extension- mycyg :1.86         user@1000.service  -       -
:1.88                                         10423 evolution-alarm mycyg :1.88         user@1000.service  -       -
:1.9                                           7464 wireplumber     mycyg :1.9          user@1000.service  -       -
:1.90                                         10414 update-notifier mycyg :1.90         user@1000.service  -       -
:1.93                                         11205 gsd-printer     mycyg :1.93         user@1000.service  -       -
:1.95                                         11224 xdg-desktop-por mycyg :1.95         user@1000.service  -       -
:1.96                                         11224 xdg-desktop-por mycyg :1.96         user@1000.service  -       -
:1.98                                         10771 xdg-desktop-por mycyg :1.98         user@1000.service  -       -
ca.desrt.dconf                                10195 dconf-service   mycyg :1.24         user@1000.service  -       -
com.canonical.firmware_updater                    - -               -     (activatable) -                  -       -
com.feralinteractive.GameMode                     - -               -     (activatable) -                  -       -
io.snapcraft.Launcher                             - -               -     (activatable) -                  -       -
io.snapcraft.SessionAgent                         - -               -     (activatable) -                  -       -
io.snapcraft.Settings                             - -               -     (activatable) -                  -       -
io.snapcraft.SnapDesktopIntegration           10840 snapd-desktop-i mycyg :1.79         user@1000.service  -       -
org.a11y.Bus                                  10272 at-spi-bus-laun mycyg :1.30         user@1000.service  -       -
org.bluez.obex                                    - -               -     (activatable) -                  -       -
org.fcitx.Fcitx5                                  - -               -     (activatable) -                  -       -
org.fedoraproject.Config.Printing                 - -               -     (activatable) -                  -       -
org.freedesktop.ColorHelper                       - -               -     (activatable) -                  -       -
org.freedesktop.DBus                           7270 systemd         mycyg -             user@1000.service  -       -
org.freedesktop.FileManager1                      - -               -     (activatable) -                  -       -
org.freedesktop.IBus                          10343 ibus-daemon     mycyg :1.69         user@1000.service  -       -
org.freedesktop.IBus.Panel.Extension.Gtk3     10699 ibus-extension- mycyg :1.73         user@1000.service  -       -
org.freedesktop.LocalSearch3                  10706 localsearch-3   mycyg :1.74         user@1000.service  -       -
org.freedesktop.LocalSearch3.Control              - -               -     (activatable) -                  -       -
org.freedesktop.LocalSearch3.Writeback            - -               -     (activatable) -                  -       -
org.freedesktop.MalcontentControl                 - -               -     (activatable) -                  -       -
org.freedesktop.Notifications                 10318 gjs             mycyg :1.36         user@1000.service  -       -
org.freedesktop.PackageKit                        - -               -     (activatable) -                  -       -
org.freedesktop.ReserveDevice1.Audio0          7464 wireplumber     mycyg :1.9          user@1000.service  -       -
org.freedesktop.ReserveDevice1.Audio1          7464 wireplumber     mycyg :1.9          user@1000.service  -       -
org.freedesktop.ReserveDevice1.Audio3          7464 wireplumber     mycyg :1.9          user@1000.service  -       -
org.freedesktop.ScreenSaver                   10372 gsd-screensaver mycyg :1.47         user@1000.service  -       -
org.freedesktop.Tracker3.Miner.Files          10706 localsearch-3   mycyg :1.74         user@1000.service  -       -
org.freedesktop.Tracker3.Miner.Files.Control      - -               -     (activatable) -                  -       -
org.freedesktop.Tracker3.Writeback                - -               -     (activatable) -                  -       -
org.freedesktop.a11y.Manager                  10230 gnome-shell     mycyg :1.28         user@1000.service  -       -
org.freedesktop.background.Monitor            10771 xdg-desktop-por mycyg :1.98         user@1000.service  -       -
org.freedesktop.impl.portal.PermissionStore    7803 xdg-permission- mycyg :1.12         user@1000.service  -       -
org.freedesktop.impl.portal.Secret                - -               -     (activatable) -                  -       -
org.freedesktop.impl.portal.desktop.gnome     10781 xdg-desktop-por mycyg :1.77         user@1000.service  -       -
org.freedesktop.impl.portal.desktop.gtk       11224 xdg-desktop-por mycyg :1.95         user@1000.service  -       -
org.freedesktop.portal.Desktop                10771 xdg-desktop-por mycyg :1.76         user@1000.service  -       -
org.freedesktop.portal.Documents               7794 xdg-document-po mycyg :1.11         user@1000.service  -       -
org.freedesktop.portal.IBus                   10701 ibus-portal     mycyg :1.71         user@1000.service  -       -
org.freedesktop.portal.Tracker                    - -               -     (activatable) -                  -       -
org.freedesktop.secrets                        9845 gnome-keyring-d mycyg :1.14         user@1000.service  -       -
org.freedesktop.systemd1                       7270 systemd         mycyg :1.1          user@1000.service  -       -
org.gnome.Calculator.SearchProvider               - -               -     (activatable) -                  -       -
org.gnome.Characters                              - -               -     (activatable) -                  -       -
org.gnome.DiskUtility                             - -               -     (activatable) -                  -       -
org.gnome.Disks.NotificationMonitor           10436 gsd-disk-utilit mycyg :1.52         user@1000.service  -       -
org.gnome.Evolution-alarm-notify              10423 evolution-alarm mycyg :1.59         user@1000.service  -       -
org.gnome.Extensions                              - -               -     (activatable) -                  -       -
org.gnome.Identity                            10571 goa-identity-se mycyg :1.60         user@1000.service  -       -
org.gnome.Logs                                    - -               -     (activatable) -                  -       -
org.gnome.Loupe                                   - -               -     (activatable) -                  -       -
org.gnome.Mutter.ColorManager                 10230 gnome-shell     mycyg :1.28         user@1000.service  -       -
org.gnome.Mutter.DisplayConfig                10230 gnome-shell     mycyg :1.28         user@1000.service  -       -
org.gnome.Mutter.IdleMonitor                  10230 gnome-shell     mycyg :1.28         user@1000.service  -       -
org.gnome.Mutter.InputCapture                 10230 gnome-shell     mycyg :1.28         user@1000.service  -       -
org.gnome.Mutter.InputMapping                 10230 gnome-shell     mycyg :1.28         user@1000.service  -       -
org.gnome.Mutter.RemoteDesktop                10230 gnome-shell     mycyg :1.28         user@1000.service  -       -
org.gnome.Mutter.ScreenCast                   10230 gnome-shell     mycyg :1.28         user@1000.service  -       -
org.gnome.Mutter.ServiceChannel               10230 gnome-shell     mycyg :1.28         user@1000.service  -       -
org.gnome.Mutter.X11                          10230 gnome-shell     mycyg :1.28         user@1000.service  -       -
org.gnome.Nautilus                                - -               -     (activatable) -                  -       -
org.gnome.OnlineAccounts                      10391 goa-daemon      mycyg :1.57         user@1000.service  -       -
org.gnome.Ptyxis                                  - -               -     (activatable) -                  -       -
org.gnome.Rygel1                                  - -               -     (activatable) -                  -       -
org.gnome.ScreenSaver                         10586 gjs             mycyg :1.61         user@1000.service  -       -
org.gnome.SessionManager                      10224 gnome-session-s mycyg :1.27         user@1000.service  -       -
org.gnome.Settings                                - -               -     (activatable) -                  -       -
org.gnome.Settings.GlobalShortcutsProvider        - -               -     (activatable) -                  -       -
org.gnome.Settings.SearchProvider                 - -               -     (activatable) -                  -       -
org.gnome.SettingsDaemon.A11ySettings         10344 gsd-a11y-settin mycyg :1.39         user@1000.service  -       -
org.gnome.SettingsDaemon.Color                10345 gsd-color       mycyg :1.40         user@1000.service  -       -
org.gnome.SettingsDaemon.Datetime             10352 gsd-datetime    mycyg :1.46         user@1000.service  -       -
org.gnome.SettingsDaemon.Housekeeping         10353 gsd-housekeepin mycyg :1.44         user@1000.service  -       -
org.gnome.SettingsDaemon.Keyboard             10354 gsd-keyboard    mycyg :1.41         user@1000.service  -       -
org.gnome.SettingsDaemon.MediaKeys            10359 gsd-media-keys  mycyg :1.51         user@1000.service  -       -
org.gnome.SettingsDaemon.Power                10361 gsd-power       mycyg :1.45         user@1000.service  -       -
org.gnome.SettingsDaemon.PrintNotifications   10364 gsd-print-notif mycyg :1.55         user@1000.service  -       -
org.gnome.SettingsDaemon.Rfkill               10368 gsd-rfkill      mycyg :1.42         user@1000.service  -       -
org.gnome.SettingsDaemon.ScreensaverProxy     10372 gsd-screensaver mycyg :1.47         user@1000.service  -       -
org.gnome.SettingsDaemon.Sharing              10376 gsd-sharing     mycyg :1.43         user@1000.service  -       -
org.gnome.SettingsDaemon.Smartcard            10379 gsd-smartcard   mycyg :1.49         user@1000.service  -       -
org.gnome.SettingsDaemon.Sound                10387 gsd-sound       mycyg :1.50         user@1000.service  -       -
org.gnome.SettingsDaemon.UsbProtection        10393 gsd-usb-protect mycyg :1.48         user@1000.service  -       -
org.gnome.SettingsDaemon.Wwan                 10394 gsd-wwan        mycyg :1.53         user@1000.service  -       -
org.gnome.SettingsDaemon.XSettings            11438 gsd-xsettings   mycyg :1.102        user@1000.service  -       -
org.gnome.Shell                               10230 gnome-shell     mycyg :1.28         user@1000.service  -       -
org.gnome.Shell.AudioDeviceSelection          10230 gnome-shell     mycyg :1.28         user@1000.service  -       -
org.gnome.Shell.Brightness                    10230 gnome-shell     mycyg :1.28         user@1000.service  -       -
org.gnome.Shell.CalendarServer                10301 gnome-shell-cal mycyg :1.34         user@1000.service  -       -
org.gnome.Shell.Extensions                        - -               -     (activatable) -                  -       -
org.gnome.Shell.HotplugSniffer                    - -               -     (activatable) -                  -       -
org.gnome.Shell.Introspect                    10230 gnome-shell     mycyg :1.28         user@1000.service  -       -
org.gnome.Shell.Notifications                 10318 gjs             mycyg :1.36         user@1000.service  -       -
org.gnome.Shell.ScreenShield                  10230 gnome-shell     mycyg :1.28         user@1000.service  -       -
org.gnome.Shell.Screencast                        - -               -     (activatable) -                  -       -
org.gnome.Shell.Screenshot                    10230 gnome-shell     mycyg :1.28         user@1000.service  -       -
org.gnome.Shell.Wacom.PadOsd                  10230 gnome-shell     mycyg :1.28         user@1000.service  -       -
org.gnome.Sysprof                                 - -               -     (activatable) -                  -       -
org.gnome.TextEditor                              - -               -     (activatable) -                  -       -
org.gnome.baobab                                  - -               -     (activatable) -                  -       -
org.gnome.clocks                                  - -               -     (activatable) -                  -       -
org.gnome.evolution.dataserver.AddressBook10  10658 evolution-addre mycyg :1.64         user@1000.service  -       -
org.gnome.evolution.dataserver.Calendar8      10616 evolution-calen mycyg :1.62         user@1000.service  -       -
org.gnome.evolution.dataserver.Sources5       10309 evolution-sourc mycyg :1.35         user@1000.service  -       -
org.gnome.evolution.dataserver.UserPrompter0      - -               -     (activatable) -                  -       -
org.gnome.font-viewer                             - -               -     (activatable) -                  -       -
org.gnome.keyring                              9845 gnome-keyring-d mycyg :1.14         user@1000.service  -       -
org.gnome.keyring.PrivatePrompter                 - -               -     (activatable) -                  -       -
org.gnome.keyring.SystemPrompter              10230 gnome-shell     mycyg :1.28         user@1000.service  -       -
org.gnome.seahorse.Application                    - -               -     (activatable) -                  -       -
org.gtk.GLib.PACRunner                            - -               -     (activatable) -                  -       -
org.gtk.MountOperationHandler                 10230 gnome-shell     mycyg :1.28         user@1000.service  -       -
org.gtk.Notifications                         10230 gnome-shell     mycyg :1.28         user@1000.service  -       -
org.gtk.Settings                              11438 gsd-xsettings   mycyg :1.102        user@1000.service  -       -
org.gtk.vfs.AfcVolumeMonitor                  10669 gvfs-afc-volume mycyg :1.65         user@1000.service  -       -
org.gtk.vfs.Daemon                            10176 gvfsd           mycyg :1.21         user@1000.service  -       -
org.gtk.vfs.GPhoto2VolumeMonitor              10684 gvfs-gphoto2-vo mycyg :1.68         user@1000.service  -       -
org.gtk.vfs.GoaVolumeMonitor                  10693 gvfs-goa-volume mycyg :1.72         user@1000.service  -       -
org.gtk.vfs.MTPVolumeMonitor                  10679 gvfs-mtp-volume mycyg :1.66         user@1000.service  -       -
org.gtk.vfs.Metadata                          10908 gvfsd-metadata  mycyg :1.82         user@1000.service  -       -
org.gtk.vfs.UDisks2VolumeMonitor              10650 gvfs-udisks2-vo mycyg :1.63         user@1000.service  -       -
org.gtk.vfs.mountpoint_11106                  11106 gvfsd-trash     mycyg :1.84         user@1000.service  -       -
org.gtk.vfs.mountpoint_12809                  12809 gvfsd-recent    mycyg :1.114        user@1000.service  -       -
org.gtk.vfs.mountpoint_12811                  12811 gvfsd-network   mycyg :1.115        user@1000.service  -       -
org.gtk.vfs.mountpoint_dnssd                  12822 gvfsd-dnssd     mycyg :1.117        user@1000.service  -       -
org.gtk.vfs.mountpoint_wsdd                   12828 gvfsd-wsdd      mycyg :1.119        user@1000.service  -       -
org.openprinting.Backend.CUPS                     - -               -     (activatable) -                  -       -
org.pipewire.Telephony                         7464 wireplumber     mycyg :1.19         user@1000.service  -       -
org.pulseaudio.Server                          7467 pipewire-pulse  mycyg :1.8          user@1000.service  -       -
